state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
13,181,"Lincoln County, Georgia",7726,3794
13,183,"Long County, Georgia",16804,8679
13,185,"Lowndes County, Georgia",118257,57335
13,187,"Lumpkin County, Georgia",33405,16346
13,189,"McDuffie County, Georgia",21715,10508
13,191,"McIntosh County, Georgia",11183,5518
13,193,"Macon County, Georgia",12099,6604
13,195,"Madison County, Georgia",30378,14705
13,197,"Marion County, Georgia",7508,3680
13,199,"Meriwether County, Georgia",20679,9966
13,201,"Miller County, Georgia",5923,2792
13,205,"Mitchell County, Georgia",21634,11195
13,207,"Monroe County, Georgia",28287,14308
13,209,"Montgomery County, Georgia",8687,4405
13,211,"Morgan County, Georgia",20171,9990
13,213,"Murray County, Georgia",40063,19928
13,215,"Muscogee County, Georgia",204572,98973
13,217,"Newton County, Georgia",113298,53614
13,219,"Oconee County, Georgia",41978,20864
13,221,"Oglethorpe County, Georgia",14974,7528
13,223,"Paulding County, Georgia",169898,83341
13,225,"Peach County, Georgia",28054,13785
13,227,"Pickens County, Georgia",33439,16763
13,229,"Pierce County, Georgia",19822,9942
13,231,"Pike County, Georgia",19145,9417
13,233,"Polk County, Georgia",43019,21203
13,235,"Pulaski County, Georgia",9887,4339
13,237,"Putnam County, Georgia",22206,10855
13,239,"Quitman County, Georgia",2180,1179
13,241,"Rabun County, Georgia",16915,8264
13,243,"Randolph County, Georgia",6365,2939
13,245,"Richmond County, Georgia",206153,99791
13,247,"Rockdale County, Georgia",93641,44495
13,249,"Schley County, Georgia",4565,2309
13,251,"Screven County, Georgia",14026,6742
13,253,"Seminole County, Georgia",9117,4425
13,255,"Spalding County, Georgia",67415,32327
13,257,"Stephens County, Georgia",26732,12685
13,259,"Stewart County, Georgia",5121,3538
13,261,"Sumter County, Georgia",29378,13782
13,263,"Talbot County, Georgia",5793,2802
13,265,"Taliaferro County, Georgia",1635,734
13,267,"Tattnall County, Georgia",24309,14137
13,269,"Taylor County, Georgia",7799,3741
13,271,"Telfair County, Georgia",12619,7534
13,273,"Terrell County, Georgia",9004,4532
13,275,"Thomas County, Georgia",45665,21757
13,277,"Tift County, Georgia",41247,20002
13,279,"Toombs County, Georgia",26946,12819
13,281,"Towns County, Georgia",12546,6034
13,283,"Treutlen County, Georgia",6411,3409
13,285,"Troup County, Georgia",69527,33108
13,287,"Turner County, Georgia",8894,4308
13,289,"Twiggs County, Georgia",7955,3881
13,291,"Union County, Georgia",24880,12345
13,293,"Upson County, Georgia",27638,13285
13,295,"Walker County, Georgia",68065,33912
13,297,"Walton County, Georgia",97752,47777
13,299,"Ware County, Georgia",35917,17975
13,301,"Warren County, Georgia",5197,2405
13,303,"Washington County, Georgia",19975,10209
13,305,"Wayne County, Georgia",30277,15113
13,307,"Webster County, Georgia",2354,1208
13,309,"Wheeler County, Georgia",7550,4975
13,311,"White County, Georgia",28165,13898
13,313,"Whitfield County, Georgia",103033,51768
